context,topo1,topo2,topo3,topo4,address,yandex_map
odincovo,Одинцово,Одинцове,Одинцову,Одинцова,"Одинцово, Внуковская улица, 13с12",3A3cac9de35f27bb0faf151c838cd6505ab9fe83de2fedeb72ca3c780bc62b5a69
ramenskoe,Раменское,Раменском,Раменскому,Раменского,"Раменское, улица Михалевича, 39с71",3A3af3329c50ac6a9dc5256d93beb976989f35cfb587b506de0980be0325db0b2d
